"id";"idResource";"idProject";"refType";"refId";"rate";"assignedWork";"realWork";"leftWork";"plannedWork";"idle";"realStartDate";"realEndDate";"comment";"plannedStartDate";"plannedEndDate";"idRole";"dailyCost";"newDailyCost";"assignedCost";"realCost";"leftCost";"plannedCost";"billedWork";"notPlannedWork"
"62";"14";"10";"Activity";"61";"100";NULL;"26.50000";"0.00000";"26.50000";"0";"2014-04-28";"2014-07-23";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"63";"7";"10";"Activity";"7";"100";NULL;"121.00000";"0.00000";"121.00000";"0";"2014-05-05";"2015-03-25";NULL;NULL;NULL;"6";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"64";"18";"11";"Activity";"62";"100";NULL;"6.50000";"0.00000";"6.50000";"0";"2014-05-08";"2014-09-02";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"65";"18";"12";"Activity";"63";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"66";"13";"13";"Activity";"64";"100";NULL;"2.50000";"0.00000";"2.50000";"0";"2014-04-29";"2014-05-05";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"67";"13";"14";"Activity";"65";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"68";"13";"15";"Activity";"66";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"69";"13";"14";"Activity";"67";"100";"0.00000";"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;"1";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"70";"13";"16";"Activity";"68";"100";NULL;"3.00000";"0.00000";"3.00000";"0";"2014-05-27";"2014-05-29";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"71";"13";"16";"Activity";"69";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"72";"18";"17";"Activity";"70";"100";NULL;"15.50000";"0.00000";"15.50000";"0";"2014-05-02";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"73";"18";"18";"Activity";"71";"100";NULL;"12.00000";"0.00000";"12.00000";"0";"2014-05-02";"2014-08-29";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"74";"13";"17";"Activity";"72";"100";NULL;"0.50000";"0.00000";"0.50000";"0";"2015-03-04";"2015-03-04";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"75";"31";"19";"Activity";"73";"100";NULL;"170.00000";"0.00000";"170.00000";"0";"2014-03-17";"2014-10-31";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"76";"11";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"87";"33";"9";"Activity";"75";"100";NULL;"11.50000";"0.00000";"11.50000";"0";"2014-05-15";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"110";"7";"20";"Activity";"74";"100";NULL;"22.25000";"0.00000";"22.25000";"0";"2014-05-20";"2014-12-31";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"113";"13";"14";"Activity";"78";"100";NULL;"6.00000";"0.00000";"6.00000";"0";"2014-05-02";"2014-05-15";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"114";"13";"14";"Activity";"79";"100";NULL;"3.00000";"0.00000";"3.00000";"0";"2014-05-16";"2014-05-20";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"115";"13";"14";"Activity";"80";"100";NULL;"3.00000";"0.00000";"3.00000";"0";"2014-05-21";"2014-05-23";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"116";"4";"9";"Activity";"76";"100";NULL;"7.00000";"0.00000";"7.00000";"0";"2014-05-27";"2014-06-04";NULL;NULL;NULL;"1";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"117";"13";"22";"Activity";"84";"100";"2.00000";"0.00000";"2.00000";"2.00000";"0";NULL;NULL;NULL;NULL;NULL;"1";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"118";"13";"22";"Activity";"82";"100";"3.00000";"2.00000";"1.00000";"3.00000";"0";"2014-05-26";"2014-05-30";NULL;NULL;NULL;"1";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"120";"13";"22";"Activity";"83";"100";"2.00000";"0.00000";"2.00000";"2.00000";"0";NULL;NULL;NULL;NULL;NULL;"1";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"121";"5";"1";"Activity";"5";"100";NULL;"15.00000";"0.00000";"15.00000";"0";"2014-06-16";"2014-07-03";NULL;NULL;NULL;"3";NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"124";"5";"1";"Activity";"85";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"125";"13";"22";"Activity";"81";"100";"3.00000";"3.00000";"0.00000";"3.00000";"0";"2014-05-09";"2014-05-13";NULL;NULL;NULL;"1";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"126";"5";"1";"Activity";"86";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"127";"13";"16";"Activity";"87";"100";NULL;"2.00000";"0.00000";"2.00000";"0";"2014-06-05";"2014-06-13";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"128";"4";"7";"Activity";"53";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;"3";NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"133";"5";"20";"Activity";"74";"100";NULL;"8.00000";"0.00000";"8.00000";"0";"2014-04-04";"2014-04-25";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"134";"24";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"135";"28";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"136";"31";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"138";"13";"20";"Activity";"74";"100";NULL;"8.00000";"0.00000";"8.00000";"0";"2014-11-11";"2014-11-27";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"139";"22";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"140";"18";"20";"Activity";"74";"100";NULL;"2.50000";"0.00000";"2.50000";"0";"2014-06-12";"2014-09-18";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"141";"30";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"142";"28";"5";"Activity";"88";"100";"0.00000";"3.00000";"0.00000";"3.00000";"0";"2014-05-02";"2014-05-06";NULL;NULL;NULL;"7";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"143";"28";"5";"Activity";"90";"100";NULL;"3.00000";"0.00000";"3.00000";"0";"2014-05-07";"2014-05-09";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"144";"28";"5";"Activity";"91";"100";NULL;"2.00000";"0.00000";"2.00000";"0";"2014-05-27";"2014-05-28";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"145";"32";"20";"Activity";"74";"100";NULL;"2.00000";"0.00000";"2.00000";"0";"2014-05-14";"2014-05-15";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"146";"30";"5";"Activity";"92";"100";NULL;"8.00000";"0.00000";"8.00000";"0";"2014-05-02";"2014-05-16";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"147";"30";"5";"Activity";"93";"100";NULL;"7.00000";"0.00000";"7.00000";"0";"2014-05-13";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"148";"30";"5";"Activity";"94";"100";NULL;"5.00000";"0.00000";"5.00000";"0";"2014-05-19";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"150";"5";"20";"Activity";"95";"100";NULL;"3.00000";"0.00000";"3.00000";"1";"2014-05-21";"2014-05-27";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"152";"8";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"154";"5";"20";"Activity";"98";"100";NULL;"12.00000";"0.00000";"12.00000";"0";"2014-04-14";"2014-06-03";NULL;NULL;NULL;"6";"0.00";NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"155";"8";"5";"Activity";"96";"100";NULL;"6.00000";"0.00000";"6.00000";"0";"2014-05-02";"2014-05-09";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"156";"8";"5";"Activity";"97";"100";NULL;"14.00000";"0.00000";"14.00000";"0";"2014-05-12";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"157";"23";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"159";"10";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"161";"10";"5";"Activity";"100";"100";NULL;"6.00000";"0.00000";"6.00000";"0";"2014-05-15";"2014-05-29";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"162";"10";"5";"Activity";"99";"100";NULL;"14.00000";"0.00000";"14.00000";"0";"2014-05-02";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"163";"15";"20";"Activity";"74";"100";NULL;"1.00000";"0.00000";"1.00000";"0";"2014-05-05";"2014-05-05";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"164";"15";"20";"Activity";"95";"100";NULL;"2.00000";"0.00000";"2.00000";"1";"2014-05-02";"2014-05-28";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"166";"4";"20";"Activity";"74";"100";NULL;"2.00000";"0.00000";"2.00000";"0";"2014-05-23";"2014-05-26";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"168";"27";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"170";"22";"20";"Activity";"95";"100";NULL;"5.00000";"0.00000";"5.00000";"1";"2014-05-08";"2014-05-14";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"174";"27";"5";"Activity";"101";"100";NULL;"14.00000";"0.00000";"14.00000";"0";"2014-05-02";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"175";"27";"5";"Activity";"102";"100";NULL;"7.00000";"0.00000";"7.00000";"0";"2014-05-12";"2014-05-27";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"176";"32";"9";"Activity";"75";"100";NULL;"32.50000";"0.00000";"32.50000";"0";"2014-05-16";"2014-09-04";NULL;NULL;NULL;"1";NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"177";"4";"1";"Activity";"103";"100";NULL;"33.50000";"0.00000";"33.50000";"0";"2014-05-04";"2014-06-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"178";"28";"5";"Activity";"104";"100";NULL;"10.00000";"0.00000";"10.00000";"0";"2014-05-12";"2014-05-30";NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
"179";"25";"20";"Activity";"74";"100";NULL;"0.00000";"0.00000";"0.00000";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;"0.00";"0.00";"0.00";"0.00";"0.00";"0.00000"
